topology,model,query_id,difficulty,question,run_idx,answer,overall,correctness,faithfulness,completeness,conciseness,input_tokens,output_tokens,cost_usd,latency_s,n_worker_calls,n_tool_calls
solo,openai/gpt-5.4-nano,heterogeneous_2,heterogeneous,"Find the cost per million input tokens of GPT-5.4-nano in the corpus, then compute total cost for 3.2M input tokens.",1,"I can’t answer this from the corpus available to me right now: my retrieval results don’t contain any pricing entry for **“GPT-5.4-nano”** or its **input-token cost per million**.

If you paste the relevant pricing line (e.g., “$X per 1M input tokens”) or point me to the corpus/doc where that number appears, I can immediately compute:

**Total cost = (input tokens / 1,000,000) × (price per 1M input tokens)**  
For **3.2M tokens**, that would be: **3.2 × (price per 1M input tokens)**.",3.4,3,5,3,4,2690,198,0.0007855000000000001,3.809264898300171,0,2
solo,openai/gpt-5.4-nano,heterogeneous_2,heterogeneous,"Find the cost per million input tokens of GPT-5.4-nano in the corpus, then compute total cost for 3.2M input tokens.",2,"I can’t determine the **cost per million input tokens for “GPT-5.4-nano”** from the corpus I’m able to access. My retrieval results only contain unrelated entries (e.g., generic “GPT-3”/Wikipedia material) and **none mention “GPT-5.4-nano” token pricing or input-token $/M**—so I can’t compute the total cost for **3.2M input tokens**.

If you paste the relevant pricing line (e.g., “GPT-5.4-nano: $X per 1M input tokens”), I’ll immediately compute:
- total cost = \(3.2 \times X\) dollars.",4.0,4,5,3,4,1098,176,0.0004396,3.597885847091675,0,1
solo,openai/gpt-5.4-nano,composite_1,composite,"Retrieve the key findings from the Voyager paper as discussed in the corpus, summarize them in 5 bullets, then report the bullet count.",0,"I can’t reliably retrieve the “Voyager” paper’s key findings from the corpus based on what’s currently available to me: the retrieval results returned unrelated documents (e.g., ImageNet, AlphaFold, a post about probing LLM world models) and did not surface the Voyager paper or its results.

If you can share the exact Voyager paper (title/authors/year or a link/PDF text), I can then pull its key findings from the corpus and produce the 5-bullet summary plus the bullet count.  

**Bullet count:** 0",1.8,1,3,1,4,2175,172,0.00065,3.351647138595581,0,2
solo,openai/gpt-5.4-nano,composite_1,composite,"Retrieve the key findings from the Voyager paper as discussed in the corpus, summarize them in 5 bullets, then report the bullet count.",1,"I can’t reliably retrieve the **Voyager paper’s** “key findings” from the corpus you provided. The corpus snippets I retrieved only mention **“Probing LLMs for a World Model”** (about probing LLM knowledge retention), and they don’t include any content from a **“Voyager”** paper to extract findings from.

What I *can* extract from the available corpus (from “Probing LLMs for a World Model”) is summarized in 5 bullets:

- Probes regress from hidden-token embeddings (e.g., first/middle/ending layer embeddings) to predict multiple target columns (e.g., birth year, death year, readership).
- Birth-year and death-year probes perform relatively strongly (example reported: RMSE ~80 years and **R² > 0.5** for a probe).
- Readership and a “gibberish regression” perform worse than birth/death information (example: readership **R² ~0.32**, gibberish **R² ~0**).
- Performance is compared across models (e.g., BERT vs Llama 2 variants), suggesting differences in parameter efficiency for encoding/retrieving knowledge.
- A second probe uses **GSM8K** and similarly evaluates the ability to encode and retrieve pre-trained knowledge.

**Bullet count:** 5",2.6,2,3,2,4,2392,329,0.00088965,4.7008020877838135,0,2
solo,openai/gpt-5.4-nano,composite_1,composite,"Retrieve the key findings from the Voyager paper as discussed in the corpus, summarize them in 5 bullets, then report the bullet count.",2,"I can’t reliably answer this as-is because the corpus results I can access right now don’t include a “Voyager” paper (the retrieval only surfaced unrelated items, e.g., *“Probing LLMs for a World Model”* and Wikipedia pages). Without the actual “Voyager” paper content from the corpus, I can’t extract its key findings.

If you paste the Voyager paper text (or tell me the exact title/authors/year so I can retrieve the correct document from the corpus), I’ll return **exactly 5 bullets** summarizing its key findings and then report the bullet count.",1.57,1,5,0,4,882,150,0.0003639,2.2828309535980225,0,1
solo,openai/gpt-5.4-nano,composite_2,composite,"From Wikipedia's RAG entry, extract the three named retrieval steps, summarize each in one sentence, then return their total character count.",0,"Wikipedia’s **Retrieval-augmented generation (RAG)** entry describes three **named retrieval steps**:

1) **Embed documents and store them** — Convert the data to be referenced into LLM embeddings and store them in a vector database so it can be retrieved later. *(source: Wikipedia, “Retrieval-augmented generation” → process section)*  
2) **Retrieve relevant documents** — Given a user query, call a document retriever to select the most relevant documents to use for augmenting the query. *(source: Wikipedia, “Retrieval-augmented generation” → process section)*  
3) **Generate an answer using retrieved context** — Feed the retrieved documents (as context) into the LLM so it generates the output using both the query and the retrieved information. *(source: Wikipedia, “Retrieval-augmented generation”)*  

**Total character count (all three one-sentence summaries combined): 351**",3.3,3,3,4,4,6551,392,0.0018002,7.271526098251343,0,4
solo,openai/gpt-5.4-nano,composite_2,composite,"From Wikipedia's RAG entry, extract the three named retrieval steps, summarize each in one sentence, then return their total character count.",1,"From Wikipedia’s *Retrieval-augmented generation (RAG)* entry, the three named retrieval steps are:

1) **Retrieve relevant documents** — Given a user query, retrieve the most relevant documents from an external data source.  
2) **Feed retrieved information into the LLM** — Provide the retrieved documents to the LLM (e.g., via prompt/context construction of the query).  
3) **Generate output** — Generate the final response using both the original query and the retrieved documents.

**Total character count:** 243 characters. (Including the step numbers, punctuation, spaces, and line breaks.)",2.7,2,3,3,4,6658,300,0.0017066,8.060014009475708,0,4
solo,openai/gpt-5.4-nano,composite_2,composite,"From Wikipedia's RAG entry, extract the three named retrieval steps, summarize each in one sentence, then return their total character count.",2,"Wikipedia’s Retrieval-Augmented Generation (RAG) describes the process in **three named retrieval steps**:

1. **Index documents** — Transform documents into embeddings and store them so they can be searched later.  
2. **Retrieve documents** — Embed the user query and use similarity search to select the most relevant stored text.  
3. **Generate a response** — Use an LLM to produce an answer grounded in the retrieved content.  

Total character count (including newlines between sentences): **279**.  

Source: Wikipedia — “Retrieval-augmented generation” (RAG) entry.",3.5,3,4,4,4,4182,382,0.0013139,5.36266016960144,0,4
supervisor,openai/gpt-5.4-nano,uniform_1,uniform,What does the AI Office Hours post say about positional bias in tool selection?,0,"The AI Office Hours post (“**Evaluating AI Agent Tool Selection**”, Sinan Ozdemir, **Nov 13, 2024**) says that **positional bias** in tool selection comes from where tool descriptions appear in the prompt:

- **Definition:** “**Positional bias essentially means the LLM has a tendency to pay more attention to tokens at the start or end of the prompt while glossing over tokens in the middle.**” (also described as the **“lost-in-the-middle”** problem)
- **Effect on tool choice:** Tools listed **later** can effectively land in the **middle** of the prompt and be **under-considered**, leading to **later tools being under-chosen**.
- **Observed result:** “**On average, the chosen LLMs tended to over-select tools in earlier indexes**,” indicating earlier-listed tools are favored due to their prompt position.",4.5,5,5,5,3,6750,1829,0.00363625,46.05658030509949,4,4
supervisor,openai/gpt-5.4-nano,uniform_1,uniform,What does the AI Office Hours post say about positional bias in tool selection?,1,"The AI Office Hours post (“**Evaluating AI Agent Tool Selection**”) says that **positional bias can skew tool choice based on where tools appear in the agent prompt**—often in a way consistent with the **“lost-in-the-middle”** effect.

Key statements and what they mean:

- **Later tools can be effectively ignored if they land in the “middle” of the prompt:**
  - “**Depending on where the tools are in the agent prompt, tools listed later in the list might end up towards the middle of the prompt, where information can get ignored due to positional bias**.”
  - *Meaning:* tool ordering matters because the model’s attention varies across the prompt.

- **Definition of positional bias (“lost-in-the-middle”):**
  - “**Positional bias essentially means the LLM has a tendency to pay more attention to tokens at the start or end of the prompt while glossing over tokens in the middle. You may have heard this called the ‘lost-in-the-middle’ problem.**”
  - *Meaning:* the model tends to overweight the beginning/end and underweight the middle.

- **Empirical finding: later tools are under-chosen; earlier tools are over-selected:**
  - “**Meanwhile the later tools are under-chosen, showing evidence of a positional bias.**”
  - “**On average, the chosen LLMs tended to over-select tools in earlier indexes**.”
  - *Meaning:* the selection distribution is systematically shifted toward earlier-listed tools.

- **It affects even strong/top models:**
  - “**even OpenAI models fall victim to positional bias**” / “**Even the ‘gold standard’ OpenAI LLMs fall victim to positional biases**.”
  - *Meaning:* this is not limited to weak models.

**Bottom line:** the post concludes that **tool selection is measurably affected by positional bias**, with the model **favoring earlier tools** and **under-selecting later ones** due to the uneven attention pattern captured by “lost-in-the-middle.”",4.5,5,5,5,3,7816,3197,0.00555945,32.51186418533325,4,4
supervisor,openai/gpt-5.4-nano,uniform_1,uniform,What does the AI Office Hours post say about positional bias in tool selection?,2,"The AI Office Hours post (“Evaluating AI Agent Tool Selection”) says that **tool ordering in the agent prompt can create “positional bias.”** Specifically:

- **Tools listed later can effectively get “lost”** because they may end up in the **middle of the prompt**, where the model pays less attention:  
  > “Depending on where the tools are in the agent prompt, tools listed later in the list might end up towards the middle of the prompt, where information can get ignored due to positional bias.”  

- It defines positional bias as the tendency to attend more to the **start (and/or end)** of the prompt while overlooking the **middle**, also known as **the “lost-in-the-middle” problem**:  
  > “Positional bias essentially means the LLM has a tendency to pay more attention to tokens at the start or end of the prompt while glossing over tokens in the middle.”  
  > “You may have heard this called the ‘lost-in-the-middle’ problem.”

- The post reports that this shows up in experiments as **earlier tools being chosen more often** and **later tools being under-chosen**, even for OpenAI models:  
  > “Meanwhile the later tools are under-chosen, showing evidence of a positional bias.”  
  > “On average, the chosen LLMs tended to over-select tools in earlier indexes… even OpenAI models fall victim to positional bias.”",4.6,5,5,5,3,10567,2536,0.005283400000000001,31.404419898986816,4,6
supervisor,openai/gpt-5.4-nano,uniform_2,uniform,How does Wikipedia describe BM25 as an information retrieval ranking function?,0,"Wikipedia describes **BM25 (Okapi BM25)** as an **information-retrieval ranking function** in the *Okapi BM25* article. In particular, it states:

- **Intro/lead:**  
  “**In information retrieval, Okapi BM25 (BM is an abbreviation of best matching) is a ranking function used by search engines to estimate the relevance of documents to a given search query.**” [Wikipedia: *Okapi BM25*]

- **Section “The ranking function”:**  
  “**BM25 is a bag-of-words retrieval function** that ranks a set of documents based on the query terms appearing in each document, **regardless of their proximity within the document**.” [Wikipedia: *Okapi BM25*]",3.8,4,5,3,3,6397,1516,0.0031744,19.80901312828064,4,4
supervisor,openai/gpt-5.4-nano,uniform_2,uniform,How does Wikipedia describe BM25 as an information retrieval ranking function?,1,"Wikipedia describes **Okapi BM25** as follows:

- **“In information retrieval, Okapi BM25 (BM is an abbreviation of best matching) is a ranking function used by search engines to estimate the relevance of documents to a given search query.”**  
  (Wikipedia, *Okapi BM25*, lead/intro)

And in its explanation of how it works:

- **“BM25 is a bag-of-words retrieval function that ranks a set of documents based on the query terms appearing in each document, regardless of their proximity within the document.”**  
  (Wikipedia, *Okapi BM25*, “The ranking function” subsection)",4.0,4,5,3,4,6050,1205,0.00271625,17.506612062454224,4,4
supervisor,openai/gpt-5.4-nano,uniform_2,uniform,How does Wikipedia describe BM25 as an information retrieval ranking function?,2,"Wikipedia describes **BM25 (Okapi BM25)** as an **information-retrieval ranking function** that is used by search engines to **estimate how relevant documents are to a given search query**:

> “In information retrieval, Okapi BM25 (BM is an abbreviation of best matching) is a ranking function used by search engines to estimate the relevance of documents to a given search query.” (Wikipedia: *Okapi BM25*)",3.14,3,5,2,4,1693,408,0.0008485999999999999,6.59416127204895,1,1
supervisor,openai/gpt-5.4-nano,heterogeneous_1,heterogeneous,"Summarize the AI Office Hours post on reranking RAG solutions in three bullets, then count the bullets.",0,"- The post recaps RAG as three steps: indexing documents (embeddings into a vector DB), retrieving documents (embed the query and use similarity like cosine), and generating a response with an LLM.  
- It argues that after retrieval, adding a reranking system (“5–10 more lines of code”) can reorder the retrieved documents to better surface the most relevant ones for generation.  
- It notes practical ways to improve retrieval (more documents, different/fine-tuned embedders) but emphasizes reranking as the crux for making retrieved documents—and thus RAG outputs—better.

Count: 3",3.29,3,4,3,4,4567,1467,0.0027471500000000003,19.139806985855103,4,2
supervisor,openai/gpt-5.4-nano,heterogeneous_1,heterogeneous,"Summarize the AI Office Hours post on reranking RAG solutions in three bullets, then count the bullets.",1,"- RAG quality is often limited by **retrieval ranking**: instead of trusting the vector DB’s cosine-similarity ordering, add a **re-ranking step** after initial vector retrieval to reorder the candidate documents by relevance.  
- Use **“top result accuracy”** (the % of queries where the **#1 retrieved document** is the correct answer doc) as a key metric for effectiveness, optionally also looking at whether the correct doc appears in a top-k set.  
- **Evaluate end-to-end** by testing retrieval rankings with and without re-ranking (e.g., “top doc in 10”) and compare approaches such as **Cohere v3 multilingual** and **Pongo semantic filter**.  

Count of bullets: **3**.",3.3,3,4,3,4,13082,1588,0.004601399999999999,26.765644788742065,4,6
supervisor,openai/gpt-5.4-nano,heterogeneous_1,heterogeneous,"Summarize the AI Office Hours post on reranking RAG solutions in three bullets, then count the bullets.",2,"- **RAG structure:** The post frames Retrieval-Augmented Generation as three steps: indexing documents, retrieving relevant documents (via embeddings/vector similarity), then generating an answer from the retrieved context.  
- **Where reranking fits:** It describes reranking as an optional stage between retrieval and generation, using an additional model (often an LLM-based reranker) to reorder a small set of retrieved candidates from most to least relevant.  
- **Case study + systems evaluated:** It walks through a quick case study (a Social Security FAQ chatbot) and reports evaluation of reranking approaches such as **Cohere v3 multilingual re-ranker** and **Pongo’s semantic filter**, which take the query and candidate documents and return an ordered relevance list.

**Bullet count: 3**.",4.0,4,4,4,4,6613,1720,0.0034725999999999993,18.131193161010742,4,3
supervisor,openai/gpt-5.4-nano,heterogeneous_2,heterogeneous,"Find the cost per million input tokens of GPT-5.4-nano in the corpus, then compute total cost for 3.2M input tokens.",0,"I searched the provided corpus for **“GPT-5.4-nano”** and for any **OpenAI API pricing** entries that would include the **cost per 1M input tokens**. The corpus contains **no mention of GPT-5.4-nano** (or close alias forms like “gpt-5.4 nano”) and **no pricing table/value** for GPT-5.x “nano” models. So the **per-1M input-token rate is not available in the corpus**.

### Result
- **Cost per 1M input tokens for GPT-5.4-nano (from corpus):** *not found*
- **Total cost for 3.2M input tokens:** *cannot be computed without that missing per-1M price*

If you provide the missing **$ per 1M input tokens** (or the relevant pricing table text), I can compute the total immediately as:  
**Total = 3.2 × (price per 1M input tokens)**.",4.2,4,5,4,4,18063,2132,0.0062775999999999995,32.3973228931427,4,17
supervisor,openai/gpt-5.4-nano,heterogeneous_2,heterogeneous,"Find the cost per million input tokens of GPT-5.4-nano in the corpus, then compute total cost for 3.2M input tokens.",1,"I couldn’t find any **pricing entry** in the provided corpus for **model `GPT-5.4-nano`**, specifically **the cost per 1M input tokens**. The retrieved items were unrelated (e.g., general GPT-3/GPT-4 background and training-cost discussion) and contained **no $/1M input token rate** for `GPT-5.4-nano`.  

Because the **$ per 1M input tokens** value is missing from the corpus, I **can’t compute** the total cost for **3.2M input tokens** from that information.

If you paste or upload the relevant pricing table/text from your corpus (or provide the rate card number for `GPT-5.4-nano`), I can immediately compute:
\[
\text{total cost} = 3.2 \times (\text{cost per 1M input tokens})
\]",4.6,5,5,4,4,18937,2241,0.006588650000000001,36.344053983688354,4,14
supervisor,openai/gpt-5.4-nano,heterogeneous_2,heterogeneous,"Find the cost per million input tokens of GPT-5.4-nano in the corpus, then compute total cost for 3.2M input tokens.",2,"I can’t determine the **cost per 1 million input tokens for `GPT-5.4-nano` from the provided corpus**, because the corpus search results contain **no pricing entries** for that model (no `$ / 1M input tokens` value, no pricing table, and no mention of `GPT-5.4-nano` with token pricing).

Since the **$/1M input-token price is missing**, I also can’t compute the total cost for **3.2M input tokens** from the corpus.

If you provide (or point me to within the corpus) the specific pricing source/table that includes `GPT-5.4-nano`’s input-token rate, I can extract the **$/1M** value and compute:
\[
\text{Total cost} = (\$/1M) \times 3.2
\]",4.0,4,5,3,4,16328,2094,0.0058831,30.92271089553833,4,18
supervisor,openai/gpt-5.4-nano,composite_1,composite,"Retrieve the key findings from the Voyager paper as discussed in the corpus, summarize them in 5 bullets, then report the bullet count.",0,"- I could not locate or retrieve any passages from the corpus that match a specific “Voyager” research paper (no title/authors/ID found in retrieved snippets).  
- Because the Voyager paper content was not present in the retrieval results, no Voyager-specific claims or “key findings” snippets were available to extract.  
- Retrieval results returned unrelated general LLM/agent material (e.g., “Large language model”) and other non-Voyager items, which are not attributable to the Voyager paper.  
- Team attempts using multiple query variants (e.g., “Voyager,” “Voyager LLM,” “Voyager paper key findings,” “open-ended embodied agent”) still yielded no matching Voyager paper text.  
- As a result, a 5-bullet summary of the Voyager paper’s key findings cannot be produced from this corpus without the exact paper identifier (title/authors/year or link/DOI/arXiv ID).

**Bullet count: 5**",3.4,3,5,3,4,14167,2140,0.0055084,28.392067670822144,4,14
supervisor,openai/gpt-5.4-nano,composite_1,composite,"Retrieve the key findings from the Voyager paper as discussed in the corpus, summarize them in 5 bullets, then report the bullet count.",1,"- I cannot retrieve or locate the specified **“Voyager” paper** in the provided corpus using the retrieval tool; the returned results contain no paper text/abstract/key-findings about a Voyager paper.  
- The only “Voyager” hits found were **unrelated** (e.g., generic LLM/background material and reinforcement-learning/agent/tool-selection snippets) and did not correspond to a dedicated Voyager research article.  
- Because the Voyager paper content is **not present in the retrieved corpus**, I cannot extract or summarize its **actual key findings**.  
- The closest retrieved passages discuss **general concepts** (e.g., LLMs not being autonomous agents by default; adding environment/memory/tools; behavior-based embodied robotics), but these are **not attributable** to the Voyager paper.  
- I therefore **cannot provide evidence-cited bullet-point findings** from the Voyager paper until you specify an exact identifier (full title, authors/year, or arXiv/DOI) that exists in the corpus.  

**Bullet count: 5**",3.3,3,5,3,4,13120,2209,0.005385249999999999,31.09226393699646,4,14
supervisor,openai/gpt-5.4-nano,composite_1,composite,"Retrieve the key findings from the Voyager paper as discussed in the corpus, summarize them in 5 bullets, then report the bullet count.",2,"- The provided corpus does **not** contain the “Voyager” paper (including its abstract, contributions, experiments, or discussion), so there are **no Voyager-specific passages** to extract from.  
- Retrieval results returned unrelated Wikipedia and blog/wiki content about general AI/LLMs and agent/embodied-agent background rather than Voyager’s findings.  
- Because the corpus lacks the paper text, any attempt to summarize “key findings/results” from Voyager would be **unsupported** by the corpus evidence.  
- The only “closest matches” found in the corpus are generic topics (e.g., embodied/agent background) and unrelated posts, not the Voyager paper’s results.  
- To proceed, the missing paper text (or an indexed identifier like title/authors/DOI/arXiv link) is required; once provided, key findings can be extracted with citations.

**Bullet count: 5**",4.0,4,5,3,4,16612,2749,0.006758650000000001,33.27500796318054,4,20
supervisor,openai/gpt-5.4-nano,composite_2,composite,"From Wikipedia's RAG entry, extract the three named retrieval steps, summarize each in one sentence, then return their total character count.",0,"### Three named retrieval steps (from Wikipedia RAG) — one-sentence summaries
1) **Query** — A query is used to search a database of data chunks.  
2) **Retrieve relevant documents** — The most relevant data chunks are retrieved and provided to a generator.  
3) **Generate a response** — A response is generated based on the retrieved chunks.  

**Total character count (all three summary sentences concatenated, including spaces and punctuation): 256**",3.29,3,4,3,4,7762,1130,0.0029648999999999995,27.95576000213623,4,5
supervisor,openai/gpt-5.4-nano,composite_2,composite,"From Wikipedia's RAG entry, extract the three named retrieval steps, summarize each in one sentence, then return their total character count.",1,"I can’t truthfully extract **three named retrieval steps** *as such* from Wikipedia’s “Retrieval-augmented generation” entry because the article **does not present a clearly labeled list of three retrieval steps** (e.g., no explicit “Step 1/2/3” or three fixed step titles).

What Wikipedia *does* describe is a basic pipeline in prose (retrieve relevant documents, then generate an output based on them) plus optional extras (e.g., re-ranking). The closest “step-like” three phrases I can form from what the entry explicitly mentions are:

1. **“a document retriever is called”** — A retriever is invoked given a query to collect relevant material.  
2. **“retrieve the most relevant documents”** — The retriever returns the documents most relevant to the query.  
3. **“re-ranking of retrieved information”** — Some systems add a re-ranking step to improve which retrieved items are used.

**Total character count (sum of the three step phrases exactly as quoted above):** 86 characters.",2.3,2,3,2,3,8704,1756,0.0039358,22.48178482055664,4,6
supervisor,openai/gpt-5.4-nano,composite_2,composite,"From Wikipedia's RAG entry, extract the three named retrieval steps, summarize each in one sentence, then return their total character count.",2,"I can’t reliably complete this request from the Wikipedia RAG text that was available to the team via retrieval.

- The retrieved Wikipedia content for **“Retrieval-augmented generation”** does **not** present **three named retrieval steps** with distinct labeled step names (e.g., a clear “Step 1/2/3” list for retrieval).  
- It only contains a high-level description of RAG as: **retrieve relevant information/documents**, then **use that retrieved context to generate an output**—but without three specifically *named* retrieval steps to extract and count.

**Therefore:**
- I can’t extract “the three named retrieval steps” as requested.
- Because those three named steps aren’t available to extract, I also can’t produce a correct total character count for them.",3.14,3,5,2,4,12368,1916,0.004868600000000001,28.739229917526245,4,8
hierarchical,openai/gpt-5.4-nano,uniform_1,uniform,What does the AI Office Hours post say about positional bias in tool selection?,0,"The **AI Office Hours** post (“**Evaluating AI Agent Tool Selection**,” Sinan Ozdemir, Nov 13, 2024) says that **tool selection can be biased by the tools’ position in the prompt**:

- Tools listed later may “end up towards the middle of the prompt,” where information can be “ignored due to positional bias.”
- It defines **positional bias** as: the LLM tends to pay more attention to tokens **at the start or end** of the prompt while glossing over tokens in the **middle**—i.e., the **“lost-in-the-middle”** problem.
- The post also reports evidence that **later tools are under-chosen** and that models tend to **over-select tools with earlier indexes**, consistent with positional bias.",4.5,5,5,5,3,8397,3263,0.00575815,42.43177008628845,12,3
